"id","name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","MunicipalityBFSNr","FactsEnglish","OffencesTotal","Residents","BurglariesPerResident","avg.price"
19776405,"Nice 1 BR flat city center / near lake (D7)","Kreis 8","Seefeld",47.35721,8.5547,"Entire home/apt",163,261,"TotalCrime",107,17152,0.00623833955223881,2237
19794268,"A room in home away from home","Kreis 11","Oerlikon",47.4164,8.53539,"Private room",50,261,"TotalCrime",400,73223,0.00546276443194078,1540
19904561,"stylish flat in trendy neighborhood","Kreis 3","Sihlfeld",47.3753,8.51415,"Private room",72,261,"TotalCrime",304,48865,0.00622122173334698,1564
19929239,"Very central, quiet and green","Kreis 6","Oberstrass",47.38809,8.54917,"Entire home/apt",90,261,"TotalCrime",221,33665,0.00656468141987227,1731
20079919,"Limmatquai River View Apartment With Jacuzzi","Kreis 1","Rathaus",47.37338,8.54301,"Entire home/apt",1454,261,"TotalCrime",153,5411,0.0282757346146738,2317
20098001,"Designer room in the core of Zurich Center","Kreis 2","Enge",47.36186,8.52617,"Private room",77,261,"TotalCrime",251,35494,0.00707161773820927,1803
20182402,"Cosy 2 room apt right at Zurich main station","Kreis 5","Gewerbeschule",47.38185,8.53704,"Entire home/apt",65,261,"TotalCrime",194,15331,0.012654099536886,1801
20246499,"Spacious and comfy Room in Wipkingen","Kreis 10","Wipkingen",47.39433,8.52526,"Private room",65,261,"TotalCrime",180,39719,0.00453183614894635,1614
20277704,"Beautiful & spacious city stay","Kreis 4","Hard",47.37684,8.51374,"Entire home/apt",93,261,"TotalCrime",303,27765,0.010913019989195,1656
20349682,"1 Bedroom Serviced Apartment, Seefeld","Kreis 8","Seefeld",47.36111,8.55034,"Entire home/apt",270,261,"TotalCrime",107,17152,0.00623833955223881,2237
20397857,"Urban 2.5 room flat,huge balcony, close to centre","Kreis 9","Altstetten",47.38269,8.49523,"Entire home/apt",112,261,"TotalCrime",350,55824,0.00626970478647177,1569
20429590,"Penthouse Mainau","Kreis 8","Seefeld",47.35975,8.54969,"Entire home/apt",700,261,"TotalCrime",107,17152,0.00623833955223881,2237
20498107,"Central City,calm,green,quiet area,PRIVAT parking","Kreis 8","Mühlebach",47.36085,8.55474,"Private room",102,261,"TotalCrime",107,17152,0.00623833955223881,2237
20555787,"Apartment in Central city,quiet area,next to park,","Kreis 8","Mühlebach",47.35998,8.55502,"Entire home/apt",150,261,"TotalCrime",107,17152,0.00623833955223881,2237
20559389,"Room for rent in trendy District 4","Kreis 4","Hard",47.38299,8.51597,"Private room",39,261,"TotalCrime",303,27765,0.010913019989195,1656
20621446,"Zürich - Modern, Comfortable, Designer & Central","Kreis 11","Oerlikon",47.41354,8.54605,"Entire home/apt",126,261,"TotalCrime",400,73223,0.00546276443194078,1540
20636301,"Spacious apartment just behind the railway station","Kreis 5","Gewerbeschule",47.38136,8.53346,"Entire home/apt",280,261,"TotalCrime",194,15331,0.012654099536886,1801
